plot,block.no,sequence.id,abiotic,wood.perc.n,wood.perc.c,wood.c.to.n,wood.perc.moist,w,n,perc.denloss,soil.moisture,soil.sir,wood.sir,soil.moist,wood.sir,wood.sir.perwet,wood.sir.perdry,wood.sir.scale.sqrt,soil.n,soil.c,soil.cn,wn,soil.temp,soil.ph,richness,evenness,frequency.rank,prop.p2,e.prop.p2
10,24,NA,wn,0.5,48.4,96.8,0.6247660052,1,1,0.3664824676,14.3333333333,0.9109511265,1.8903087218,59.24,1.8903087218,0.7106423766,172.695241403,0.6168744659,1.45,33.75,23.25,1,22.1,3.73,NA,NA,NA,NA,NA
10,25,Wood27,wn,0.2,47.8,239,0.5268273526,1,1,0.2043262131,8.2222222222,0.1869252007,0.9961538924,44.86,0.9961538924,0.4698839115,107.5297084398,0.4786029832,1.45,33.75,23.25,1,21.15,3.73,93,0.9780258731,137.1505376344,0.5967741935,0.9047619048
17,26,NA,wn,0.6,48.2,80.3333333333,0.7198022861,1,1,0.3836085641,8.3333333333,0.2796642107,2.3437645022,64.22,2.3437645022,0.6565166673,171.0157925869,0.6137021515,1.65,37.15,22.3,1,21.35,4.19,NA,NA,NA,NA,NA
15,27,Wood51,wn,0.3,45.8,152.6666666667,0.7681874229,1,1,0.2658016961,7.8888888889,1.4779009784,1.3198229678,59.07,1.3198229678,0.3076510414,84.7179879124,0.4195668814,0.9,18.8,21.9,1,21.15,4.12,68,0.9744551009,139.2058823529,0.5106382979,1
21,28,NA,n,0.3,49.1,163.6666666667,0.3028162797,0,1,0.2652958113,9,1.2382574071,0.828057067,56.25,0.828057067,0.5750396298,77.5555441685,0.3992338989,1.85,42.65,23.3,0,15.15,4.16,NA,NA,NA,NA,NA
3,29,Wood37,wn,0.3,46.5,155,0.645205225,1,1,0.563971256,11.3333333333,0.1802205722,1.2985907353,53.3,1.2985907353,0.4524706395,86.6040210495,0.4247591512,1.35,30.8,22.85,1,20.1,4.36,109,0.9792119953,129.0550458716,0.5476190476,0.935483871
8,30,Wood22,w,0.3,53.2,177.3333333333,0.7457173448,1,0,0.4675542882,7.1111111111,0.1336801906,1.198929681,44.41,1.198929681,0.3042968733,48.0988701773,0.3015252412,0.8,19.2,22.9,0,21.45,4.37,56,0.9750936571,127.2678571429,0.6363636364,1
3,31,NA,wn,0.3,46.7,155.6666666667,0.5726030759,1,1,0.2874382681,9.2222222222,1.4961263712,0.6272080874,58.02,0.6272080874,0.2624301621,75.723511726,0.3938645184,1.35,30.8,22.85,1,20.4,4.36,NA,NA,NA,NA,NA
13,33,NA,w,0.3,47.3,157.6666666667,0.5962021501,1,0,0.4405771012,9.4444444444,0.8250151798,1.3492348665,53.86,1.3492348665,0.5484694579,121.5761675201,0.5115769244,1.4,34.25,24.75,0,23.55,3.93,NA,NA,NA,NA,NA
2,34,NA,w,0.2,46.5,232.5,0.4278620844,1,0,0.2441888514,9.2222222222,0.3929135003,1.2684633883,57.98,1.2684633883,0.7290019473,143.4126907761,0.5589889183,1.4,32.4,23.05,0,20.3,3.99,NA,NA,NA,NA,NA
